Kod;Nazwa;"1 kwartal;2005;[%]";"1 kwartal;2006;[%]";"1 kwartal;2007;[%]";"1 kwartal;2008;[%]";"1 kwartal;2009;[%]";"1 kwartal;2010;[%]";"2 kwartal;2005;[%]";"2 kwartal;2006;[%]";"2 kwartal;2007;[%]";"2 kwartal;2008;[%]";"2 kwartal;2009;[%]";"2 kwartal;2010;[%]";"3 kwartal;2005;[%]";"3 kwartal;2006;[%]";"3 kwartal;2007;[%]";"3 kwartal;2008;[%]";"3 kwartal;2009;[%]";"3 kwartal;2010;[%]";"4 kwartal;2005;[%]";"4 kwartal;2006;[%]";"4 kwartal;2007;[%]";"4 kwartal;2008;[%]";"4 kwartal;2009;[%]";"4 kwartal;2010;[%]"
0;POLSKA;19,2;17,8;14,3;10,9;11,1;13;18;15,9;12,3;9,4;10,6;11,7;17,6;15,2;11,6;8,9;10,9;11,5;17,6;14,8;11,2;9,5;12,1;12,4
200000;DOLNOŚLĄSKIE;22,5;20,6;15,6;11,2;12;14,1;21,1;18,5;13,3;9,8;11,3;12,7;20,4;17,3;12,1;9,3;11,6;12,4;20,6;16,6;11,4;10;12,8;13,1
400000;KUJAWSKO-POMORSKIE;23,9;22,5;18,5;14,7;15,1;17,3;22,6;20,2;16;13;14,3;15,5;22,1;19,4;15,2;12,3;14,5;15,1;22,3;19,2;14,9;13,3;16,2;17
600000;LUBELSKIE;18;17,5;15,1;12,8;12,7;13,7;16,9;16;13,4;11;11,5;12,1;16,6;15,5;12,8;10,5;11,6;11,9;17;15,5;13;11,2;12,9;13,1
800000;LUBUSKIE;25,8;23,4;18,3;13,4;15;17,2;24,1;20,7;15,6;11,5;14,4;15,2;23,7;20;14,5;11,4;14,7;14,8;23;19;14;12,5;16,2;15,5
1000000;ŁÓDZKIE;19,7;18,1;14,4;11;10,9;13;18,2;16,2;12,5;9,6;10,4;11,9;17,7;15,3;11,8;8,9;10,7;11,4;17,9;14,7;11,2;9,2;11,9;12,2
1200000;MAŁOPOLSKIE;15,1;13,9;10,9;8,4;9;10,7;14;12,3;9,4;7,3;8,6;9,6;13,6;11,6;9;7;8,9;9,5;13,8;11,3;8,7;7,5;9,7;10,4
1400000;MAZOWIECKIE;14,8;13,8;11,4;8,7;8,3;9,7;14,2;12,7;10,1;7,6;8,1;9;13,9;12,2;9,5;7,2;8,5;8,9;13,8;11,8;9;7,3;9;9,7
1600000;OPOLSKIE;20,1;18,9;15,4;11,2;11,7;13,9;18,7;17,3;13;9,5;11;12,4;18,2;16,6;12,4;8,9;11,3;12,4;18,7;16,2;11,9;9,8;12,9;13,6
1800000;PODKARPACKIE;19,3;18,6;15,9;14;14,6;16,5;17,8;16,7;14,1;12,6;14;15;17,9;16,4;13,9;12,3;14,5;14,8;18,5;16,4;14,2;13;15,9;15,4
2000000;PODLASKIE;16,3;15,8;12,9;10,3;11,3;13,6;14,9;13,9;11,1;9,1;10,9;12,2;14,8;13,4;10,6;8,8;11,4;12,3;15,6;13,3;10,4;9,7;12,8;13,8
2200000;POMORSKIE;21,6;19,3;14,7;10,2;10,4;13,1;20,6;17,2;12,7;8,7;10;11,8;19,9;16;11,6;8;10,5;11,6;19,2;15,3;10,7;8,4;11,9;12,3
2400000;ŚLĄSKIE;17;15,7;12,2;8,6;8,5;10,4;16,1;14,3;10,6;7,3;8,2;9,6;15,7;13,5;9,8;6,7;8,5;9,5;15,5;12,7;9,2;6,9;9,4;10
2600000;ŚWIĘTOKRZYSKIE;22;20,6;17,2;14,5;14,8;15,9;20,6;18,6;15,4;13,4;13,8;14,5;20,3;18;14,9;13,2;14;14,3;20,6;17,7;14,9;13,7;15,1;15,2
2800000;WARMIŃSKO-MAZURSKIE;29,5;27,3;22,7;18,2;19,1;21,6;27,5;24,5;19,5;15,7;17,8;18,8;27,2;23,6;19;15,4;18,4;18,5;27,2;23,6;18,7;16,8;20,7;20
3000000;WIELKOPOLSKIE;16,1;14,7;11,2;7,4;8,1;10,2;15;12,9;9,2;6,2;7,8;8,9;14,5;12,1;8,3;5,8;8,2;8,5;14,6;11,7;7,8;6,4;9,2;9,2
3200000;ZACHODNIOPOMORSKIE;27,5;25,4;20,9;15,8;15,3;18,3;25,5;22,3;17,7;13,2;14,1;15,9;25,2;21,5;16,7;12,3;14,5;15,9;25,6;21,5;16,4;13,3;17,1;17,8
