datetime,value
2024-09-01,5.008
2024-10-01,5.002
2024-11-01,5.025
2024-12-01,5.148
2025-01-01,5.4
2025-02-01,5.43
2025-03-01,5.33
2025-04-01,5.198
2025-05-01,5.09
2025-06-01,5.023
2025-07-01,5.051
2025-08-01,5.051
2025-09-01,5.04
2025-10-01,5.037
2025-11-01,5.049
2025-12-01,5.163
2026-01-01,5.391
2026-02-01,5.42
2026-03-01,5.327
2026-04-01,5.208
2026-05-01,5.11
2026-06-01,5.05
2026-07-01,5.077
2026-08-01,5.079
2026-09-01,5.071
2026-10-01,5.07
2026-11-01,5.083
2026-12-01,5.19
2027-01-01,5.401
2027-02-01,5.43
2027-03-01,5.347
2027-04-01,5.24
2027-05-01,5.152
2027-06-01,5.099
2027-07-01,5.126
2027-08-01,5.13
2027-09-01,5.125
2027-10-01,5.126
2027-11-01,5.14
2027-12-01,5.241
2028-01-01,5.437
2028-02-01,5.466
2028-03-01,5.392
2028-04-01,5.296
2028-05-01,5.217
2028-06-01,5.171
2028-07-01,5.198
2028-08-01,5.204
2028-09-01,5.202
2028-10-01,5.205
2028-11-01,5.22
2028-12-01,5.315
2029-01-01,5.497
2029-02-01,5.526
2029-03-01,5.46
2029-04-01,5.374
2029-05-01,5.304
2029-06-01,5.265
2029-07-01,5.291
2029-08-01,5.299
2029-09-01,5.299
2029-10-01,5.304
2029-11-01,5.321
2029-12-01,5.41
2030-01-01,5.58
2030-02-01,5.609
2030-03-01,5.55
2030-04-01,5.474
2030-05-01,5.411
2030-06-01,5.377
2030-07-01,5.404
2030-08-01,5.413
