datetime,value,conf_30,conf_60,conf_90
2024-10-01,7.38,0.0,0.0,0.0
2024-11-01,8.94,0.0,0.0,0.0
2024-12-01,8.792,0.0,0.0,0.0
2025-01-01,7.997,0.0,0.0,0.0
2025-02-01,7.075,0.0,0.0,0.0
2025-03-01,6.26,0.0,0.0,0.0
2025-04-01,5.652,0.0,0.0,0.0
2025-05-01,5.281,0.0,0.0,0.0
2025-06-01,5.138,0.0,0.0,0.0
2025-07-01,5.189,0.0,0.0,0.0
2025-08-01,5.388,0.0,0.0,0.0
2025-09-01,5.685,0.0,0.0,0.0
2025-10-01,6.03,0.0,0.0,0.0
2025-11-01,6.382,0.0,0.0,0.0
2025-12-01,6.707,0.0,0.0,0.0
2026-01-01,6.98,0.0,0.0,0.0
2026-02-01,7.187,0.0,0.0,0.0
2026-03-01,7.324,0.0,0.0,0.0
2026-04-01,7.393,0.0,0.0,0.0
2026-05-01,7.403,0.0,0.0,0.0
2026-06-01,7.365,0.0,0.0,0.0
2026-07-01,7.294,0.0,0.0,0.0
2026-08-01,7.204,0.0,0.0,0.0
2026-09-01,7.107,0.0,0.0,0.0
2026-10-01,7.013,0.0,0.0,0.0
2026-11-01,6.931,0.0,0.0,0.0
2026-12-01,6.865,0.0,0.0,0.0
2027-01-01,6.819,0.0,0.0,0.0
2027-02-01,6.792,0.0,0.0,0.0
2027-03-01,6.782,0.0,0.0,0.0
2027-04-01,6.787,0.0,0.0,0.0
2027-05-01,6.802,0.0,0.0,0.0
2027-06-01,6.825,0.0,0.0,0.0
2027-07-01,6.851,0.0,0.0,0.0
2027-08-01,6.878,0.0,0.0,0.0
2027-09-01,6.902,0.0,0.0,0.0
2027-10-01,6.922,0.0,0.0,0.0
2027-11-01,6.938,0.0,0.0,0.0
2027-12-01,6.948,0.0,0.0,0.0
2028-01-01,6.952,0.0,0.0,0.0
2028-02-01,6.953,0.0,0.0,0.0
2028-03-01,6.95,0.0,0.0,0.0
2028-04-01,6.944,0.0,0.0,0.0
2028-05-01,6.937,0.0,0.0,0.0
2028-06-01,6.93,0.0,0.0,0.0
2028-07-01,6.923,0.0,0.0,0.0
2028-08-01,6.917,0.0,0.0,0.0
2028-09-01,6.912,0.0,0.0,0.0
2028-10-01,6.909,0.0,0.0,0.0
2028-11-01,6.907,0.0,0.0,0.0
2028-12-01,6.906,0.0,0.0,0.0
2029-01-01,6.906,0.0,0.0,0.0
2029-02-01,6.908,0.0,0.0,0.0
2029-03-01,6.909,0.0,0.0,0.0
2029-04-01,6.911,0.0,0.0,0.0
2029-05-01,6.913,0.0,0.0,0.0
2029-06-01,6.915,0.0,0.0,0.0
2029-07-01,6.917,0.0,0.0,0.0
2029-08-01,6.918,0.0,0.0,0.0
2029-09-01,6.919,0.0,0.0,0.0
2029-10-01,6.919,0.0,0.0,0.0
2029-11-01,6.919,0.0,0.0,0.0
2029-12-01,6.919,0.0,0.0,0.0
2030-01-01,6.918,0.0,0.0,0.0
2030-02-01,6.918,0.0,0.0,0.0
2030-03-01,6.917,0.0,0.0,0.0
2030-04-01,6.917,0.0,0.0,0.0
2030-05-01,6.916,0.0,0.0,0.0
2030-06-01,6.916,0.0,0.0,0.0
2030-07-01,6.916,0.0,0.0,0.0
2030-08-01,6.915,0.0,0.0,0.0
2030-09-01,6.915,0.0,0.0,0.0
